game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200209080buf,First Downs,18,26,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Rush-Yds-TDs,14-73-0,32-142-3,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Cmp-Att-Yd-TD-INT,24-30-210-2-0,26-39-271-1-2,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Sacked-Yards,3-17,4-29,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Net Pass Yards,193,242,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Total Yards,266,384,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Fumbles-Lost,1-1,1-1,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Turnovers,1,3,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Penalties-Yards,10-90,10-82,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Third Down Conv.,2-8,7-17,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Fourth Down Conv.,0-0,2-2,New York Jets,Buffalo Bills,NYJ,BUF
200209080buf,Time of Possession,21:06,39:08,New York Jets,Buffalo Bills,NYJ,BUF
