game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200209080oti,First Downs,17,22,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Rush-Yds-TDs,22-80-0,25-61-1,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Cmp-Att-Yd-TD-INT,18-36-212-3-2,24-34-269-2-1,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Sacked-Yards,6-31,1-2,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Net Pass Yards,181,267,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Total Yards,261,328,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Fumbles-Lost,1-1,4-3,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Turnovers,3,4,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Penalties-Yards,10-113,6-50,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Third Down Conv.,7-15,6-10,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Fourth Down Conv.,1-1,0-0,Philadelphia Eagles,Tennessee Titans,PHI,TEN
200209080oti,Time of Possession,29:12,30:48,Philadelphia Eagles,Tennessee Titans,PHI,TEN
