game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200210130cin,First Downs,21,18,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Rush-Yds-TDs,35-211-2,24-78-1,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Cmp-Att-Yd-TD-INT,16-25-216-1-2,23-35-222-0-3,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Sacked-Yards,2-19,5-32,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Net Pass Yards,197,190,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Total Yards,408,268,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Fumbles-Lost,1-0,1-1,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Turnovers,2,4,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Penalties-Yards,7-50,4-30,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Third Down Conv.,7-12,8-14,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Fourth Down Conv.,0-0,0-2,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
200210130cin,Time of Possession,31:12,28:48,Pittsburgh Steelers,Cincinnati Bengals,PIT,CIN
