game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200210270dal,First Downs,18,17,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Rush-Yds-TDs,34-97-2,28-105-1,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Cmp-Att-Yd-TD-INT,19-31-177-0-2,12-24-145-1-0,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Sacked-Yards,1-7,2-13,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Net Pass Yards,170,132,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Total Yards,267,237,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Fumbles-Lost,0-0,2-1,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Turnovers,2,1,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Penalties-Yards,6-57,5-55,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Third Down Conv.,10-16,3-9,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Fourth Down Conv.,0-0,0-1,Seattle Seahawks,Dallas Cowboys,SEA,DAL
200210270dal,Time of Possession,32:05,27:55,Seattle Seahawks,Dallas Cowboys,SEA,DAL
