game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200210270rav,First Downs,16,26,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Rush-Yds-TDs,30-104-2,21-67-1,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Cmp-Att-Yd-TD-INT,19-25-179-2-1,29-51-298-1-3,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Sacked-Yards,0-0,1-5,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Net Pass Yards,179,293,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Total Yards,283,360,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Fumbles-Lost,1-0,3-2,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Turnovers,1,5,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Penalties-Yards,7-51,13-100,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Third Down Conv.,5-12,8-15,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Fourth Down Conv.,0-1,1-1,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
200210270rav,Time of Possession,26:35,33:25,Pittsburgh Steelers,Baltimore Ravens,PIT,BAL
