game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200210270was,First Downs,18,23,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Rush-Yds-TDs,19-63-1,37-165-0,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Cmp-Att-Yd-TD-INT,21-32-214-2-2,17-36-210-2-0,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Sacked-Yards,3-19,1-5,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Net Pass Yards,195,205,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Total Yards,258,370,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Fumbles-Lost,2-1,2-1,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Turnovers,3,1,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Penalties-Yards,6-40,5-30,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Third Down Conv.,6-11,8-16,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Fourth Down Conv.,0-0,1-2,Indianapolis Colts,Washington Redskins,IND,WAS
200210270was,Time of Possession,26:27,33:33,Indianapolis Colts,Washington Redskins,IND,WAS
