game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200211030crd,First Downs,23,13,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Rush-Yds-TDs,36-192-1,19-64-0,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Cmp-Att-Yd-TD-INT,20-29-245-2-2,19-30-193-1-1,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Sacked-Yards,2-22,3-22,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Net Pass Yards,223,171,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Total Yards,415,235,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Fumbles-Lost,0-0,2-2,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Turnovers,2,3,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Penalties-Yards,9-80,6-40,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Third Down Conv.,6-12,5-12,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Fourth Down Conv.,0-0,0-1,St. Louis Rams,Arizona Cardinals,STL,ARI
200211030crd,Time of Possession,35:28,24:32,St. Louis Rams,Arizona Cardinals,STL,ARI
