game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200211030nyg,First Downs,16,26,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Rush-Yds-TDs,20-126-0,35-177-2,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Cmp-Att-Yd-TD-INT,23-38-230-2-0,20-28-228-1-0,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Sacked-Yards,2-27,3-11,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Net Pass Yards,203,217,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Total Yards,329,394,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Fumbles-Lost,1-1,1-1,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Turnovers,1,1,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Penalties-Yards,8-63,7-59,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Third Down Conv.,5-14,5-12,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Fourth Down Conv.,3-5,1-1,Jacksonville Jaguars,New York Giants,JAX,NYG
200211030nyg,Time of Possession,26:56,33:04,Jacksonville Jaguars,New York Giants,JAX,NYG
