game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200211100min,First Downs,26,17,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Rush-Yds-TDs,35-169-2,26-224-2,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Cmp-Att-Yd-TD-INT,25-35-300-2-1,12-26-176-0-0,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Sacked-Yards,1-9,5-44,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Net Pass Yards,291,132,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Total Yards,460,356,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Fumbles-Lost,1-0,3-2,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Turnovers,1,2,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Penalties-Yards,9-84,10-84,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Third Down Conv.,1-11,0-9,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Fourth Down Conv.,0-1,0-1,New York Giants,Minnesota Vikings,NYG,MIN
200211100min,Time of Possession,34:14,25:46,New York Giants,Minnesota Vikings,NYG,MIN
