game_id,stat,away_value,home_value,away_team,home_team,away_team_header,home_team_header
200211100pit,First Downs,21,30,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Rush-Yds-TDs,31-168-3,42-182-0,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Cmp-Att-Yd-TD-INT,24-46-294-1-0,28-41-473-4-1,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Sacked-Yards,3-15,2-10,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Net Pass Yards,279,463,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Total Yards,447,645,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Fumbles-Lost,2-2,2-2,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Turnovers,2,3,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Penalties-Yards,11-95,4-25,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Third Down Conv.,9-20,6-16,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Fourth Down Conv.,0-0,1-1,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
200211100pit,Time of Possession,35:10,39:50,Atlanta Falcons,Pittsburgh Steelers,ATL,PIT
